DAUID,Population Density per Square Kilometer
12090341,18897.8
12090342,9883.9
12090343,13264.4
12090344,14368.2
12090345,7951.4
12090346,11209.5
12090347,7187.9
12090348,25588.2
12090349,7411.5
12090350,3442.5
12090351,3977.3
12090355,2244.2
12090356,1688.6
12090357,2139.3
12090358,9578.2
12090359,23496.1
12090362,855.5
12090365,2611.2
12090366,3538.7
12090367,3533.2
12090368,1884
12090369,1033.9
12090370,1407.2
12090371,869.6
12090372,672.5
12090373,456.8
12090406,2742.3
12090407,1247.2
12090415,3147.7
12090420,709.7
12090421,1851.4
12090474,766.9
12090475,591.5
12090476,8888.9
12090477,5770.5
12090478,3514.4
12090479,5333.3
12090481,3642.3
12090482,618.3
12090483,3192.1
12090484,3150.8
12090485,2012.6
12090486,3085.3
12090487,3683
12090488,4910.6
12090489,5242.6
12090490,5636.4
12090491,3233.2
12090492,9568.1
12090493,5600.6
12090494,7787.2
12090495,6368.6
12090496,6093.3
12090497,5063.4
12090498,3662.6
12090500,7475.2
12090501,10093.2
12090502,4366.5
12090506,4489.3
12090507,3861.8
12090508,3041.7
12090509,4353.3
12090510,6092
12090513,8851.5
12090514,2759.3
12090516,1420
12090517,4157.7
12090518,1939.4
12090520,7040.2
12090521,2582.5
12090523,1112.7
12090528,3323.5
12090530,9200.5
12090531,6699.1
12090532,6433
12090533,4712.3
12090534,5428.7
12090536,6285.1
12090537,5385.8
12090538,2531.5
12090539,4238.1
12090540,2208.5
12090541,3336.8
12090542,2784.7
12090562,4897.1
12090563,3353.1
12090564,3727.2
12090565,3555.5
12090567,2312.4
12090569,3369.1
12090570,5238.4
12090571,3240.6
12090572,4904.8
12090573,6881.2
12090574,1195.4
12090576,284.9
12090577,5159.4
12090578,3035.4
12090579,600.4
12090580,6453.5
12090581,6361.1
12090582,7011.5
12090583,3.2
12090587,57.9
12090588,12.1
12090590,24
12090591,2.2
12090592,1.1
12090593,4.7
12090594,5.9
12090595,5.4
12090596,20.2
12090597,10.1
12090598,1.7
12090599,29.8
12090600,90.1
12090602,258.9
12090608,39
12090609,248.4
12090610,276.5
12090611,25.5
12090612,237.8
12090613,1750.7
12090614,2169.3
12090615,677.9
12090616,2390.7
12090617,1707.1
12090618,2221.1
12090619,2054.7
12090620,1902.4
12090621,1174.7
12090622,1559.1
12090623,1308.8
12090624,2211.4
12090625,3042.1
12090627,4457.9
12090628,1077.1
12090629,1457.9
12090630,1656
12090631,1231.7
12090632,887.7
12090633,1619.4
12090634,2036.6
12090635,1516.9
12090636,401.4
12090637,2818.6
12090638,684.7
12090641,347.3
12090642,112.3
12090643,506.3
12090648,5068.1
12090649,2152.7
12090650,5762.9
12090651,319.3
12090652,3439.8
12090653,551.5
12090655,76.8
12090656,19.8
12090657,37.9
12090658,459.2
12090659,549.8
12090660,157.7
12090661,192
12090662,22.3
12090663,181.8
12090664,92.4
12090665,173.3
12090666,36
12090667,11.9
12090668,21.1
12090671,50.2
12090672,194
12090673,332.9
12090674,61.7
12090677,137.7
12090680,517.1
12090682,653.9
12090683,238
12090684,166.6
12090685,75.2
12090687,323.7
12090688,430.3
12090690,137.1
12090691,59.7
12090693,503.6
12090694,260.5
12090695,888.9
12090696,2795.2
12090697,2296.7
12090698,2802.8
12090699,2767.4
12090700,3038
12090701,2914.3
12090702,3125.9
12090703,2081.4
12090704,601.4
12090705,258.1
12090706,2313.1
12090707,2653.4
12090708,287
12090710,2750.6
12090711,1038.7
12090712,166.2
12090717,13.9
12090719,451.8
12090721,179.6
12090722,33
12090723,1827.1
12090724,214.3
12090725,129.9
12090728,3807.2
12090729,647.8
12090730,1224
12090731,872
12090733,137.2
12090734,1271.7
12090735,2883.5
12090736,3429
12090737,1541.3
12090738,638.9
12090739,4167
12090740,288
12090741,1650.4
12090743,242.5
12090745,172.2
12090746,1227.5
12090747,1907.9
12090748,2877.9
12090750,2032.9
12090751,1372.4
12090752,2621.7
12090753,1904.3
12090754,2928.7
12090755,1762.4
12090756,2442.5
12090757,2014.2
12090758,1150.3
12090759,3045.9
12090760,2871.5
12090761,2916.7
12090762,5428.8
12090763,3311.9
12090764,2921.9
12090765,2668.8
12090769,2381.6
12090770,3470.3
12090771,618.6
12090772,1788
12090773,2302.6
12090774,2076.6
12090775,1395.6
12090776,3176
12090777,1944.8
12090778,3810.5
12090779,1289.7
12090780,2820.5
12090781,2205.9
12090782,2547.7
12090783,2870.6
12090784,2156.8
12090785,2727.9
12090786,1235.6
12090787,2271.4
12090788,2401.6
12090789,2050.9
12090790,2243.1
12090792,3066.2
12090793,43.8
12090794,447.6
12090795,116.2
12090796,143.3
12090797,147
12090798,55.8
12090799,113
12090805,215.4
12090808,105.3
12090809,324.9
12090810,92.6
12090811,48.1
12090812,415.8
12090813,244
12090814,314.5
