City,DAUID,DGUID,LANDAREA,PRUID
Regina,47060271,2021S051247060271,0.1603,47
Regina,47060273,2021S051247060273,0.0971,47
Regina,47060276,2021S051247060276,0.2208,47
Regina,47060277,2021S051247060277,0.0528,47
Regina,47060278,2021S051247060278,0.0915,47
Regina,47060279,2021S051247060279,0.0761,47
Regina,47060280,2021S051247060280,0.4994,47
Regina,47060281,2021S051247060281,0.1669,47
Regina,47060286,2021S051247060286,0.1274,47
Regina,47060287,2021S051247060287,0.2238,47
Regina,47060288,2021S051247060288,0.1163,47
Regina,47060289,2021S051247060289,0.6838,47
Regina,47060290,2021S051247060290,0.1283,47
Regina,47060291,2021S051247060291,0.1297,47
Regina,47060292,2021S051247060292,0.1281,47
Regina,47060293,2021S051247060293,0.1415,47
Regina,47060294,2021S051247060294,0.0911,47
Regina,47060295,2021S051247060295,0.1309,47
Regina,47060296,2021S051247060296,0.3532,47
Regina,47060297,2021S051247060297,3.0755,47
Regina,47060298,2021S051247060298,0.2303,47
Regina,47060299,2021S051247060299,0.3814,47
Regina,47060300,2021S051247060300,0.1464,47
Regina,47060301,2021S051247060301,0.1443,47
Regina,47060302,2021S051247060302,0.1273,47
Regina,47060303,2021S051247060303,0.1073,47
Regina,47060304,2021S051247060304,0.1418,47
Regina,47060305,2021S051247060305,0.1527,47
Regina,47060306,2021S051247060306,0.1584,47
Regina,47060307,2021S051247060307,0.1898,47
Regina,47060308,2021S051247060308,0.2715,47
Regina,47060309,2021S051247060309,0.184,47
Regina,47060310,2021S051247060310,0.1469,47
Regina,47060311,2021S051247060311,0.2557,47
Regina,47060312,2021S051247060312,0.1859,47
Regina,47060313,2021S051247060313,0.2272,47
Regina,47060314,2021S051247060314,0.1283,47
Regina,47060315,2021S051247060315,0.1567,47
Regina,47060316,2021S051247060316,0.1731,47
Regina,47060317,2021S051247060317,0.2582,47
Regina,47060318,2021S051247060318,0.1149,47
Regina,47060319,2021S051247060319,0.198,47
Regina,47060320,2021S051247060320,0.397,47
Regina,47060321,2021S051247060321,0.2139,47
Regina,47060322,2021S051247060322,0.2062,47
Regina,47060323,2021S051247060323,0.2673,47
Regina,47060324,2021S051247060324,0.1557,47
Regina,47060325,2021S051247060325,0.1861,47
Regina,47060326,2021S051247060326,0.2807,47
Regina,47060327,2021S051247060327,0.2549,47
Regina,47060328,2021S051247060328,0.1328,47
Regina,47060329,2021S051247060329,0.1943,47
Regina,47060330,2021S051247060330,0.1504,47
Regina,47060331,2021S051247060331,0.1147,47
Regina,47060332,2021S051247060332,0.1826,47
Regina,47060333,2021S051247060333,0.1785,47
Regina,47060334,2021S051247060334,0.146,47
Regina,47060335,2021S051247060335,0.2854,47
Regina,47060336,2021S051247060336,0.152,47
Regina,47060337,2021S051247060337,0.1739,47
Regina,47060339,2021S051247060339,0.3485,47
Regina,47060340,2021S051247060340,0.2274,47
Regina,47060341,2021S051247060341,0.2037,47
Regina,47060342,2021S051247060342,0.2838,47
Regina,47060343,2021S051247060343,0.0902,47
Regina,47060345,2021S051247060345,0.3218,47
Regina,47060346,2021S051247060346,0.239,47
Regina,47060347,2021S051247060347,0.2185,47
Regina,47060348,2021S051247060348,0.1157,47
Regina,47060349,2021S051247060349,0.1597,47
Regina,47060350,2021S051247060350,0.2122,47
Regina,47060351,2021S051247060351,0.1979,47
Regina,47060352,2021S051247060352,0.189,47
Regina,47060353,2021S051247060353,0.1432,47
Regina,47060354,2021S051247060354,0.2323,47
Regina,47060355,2021S051247060355,0.12,47
Regina,47060356,2021S051247060356,0.2979,47
Regina,47060357,2021S051247060357,0.2308,47
Regina,47060358,2021S051247060358,0.0546,47
Regina,47060359,2021S051247060359,0.037,47
Regina,47060360,2021S051247060360,0.1999,47
Regina,47060361,2021S051247060361,0.1982,47
Regina,47060362,2021S051247060362,0.2533,47
Regina,47060363,2021S051247060363,0.2258,47
Regina,47060364,2021S051247060364,0.0952,47
Regina,47060365,2021S051247060365,0.1976,47
Regina,47060366,2021S051247060366,0.9383,47
Regina,47060367,2021S051247060367,0.1021,47
Regina,47060368,2021S051247060368,0.1815,47
Regina,47060369,2021S051247060369,0.1377,47
Regina,47060370,2021S051247060370,7.0573,47
Regina,47060371,2021S051247060371,0.3893,47
Regina,47060372,2021S051247060372,0.5545,47
Regina,47060380,2021S051247060380,0.0822,47
Regina,47060381,2021S051247060381,0.1029,47
Regina,47060382,2021S051247060382,0.175,47
Regina,47060383,2021S051247060383,0.1281,47
Regina,47060384,2021S051247060384,0.1796,47
Regina,47060386,2021S051247060386,0.101,47
Regina,47060388,2021S051247060388,0.1121,47
Regina,47060389,2021S051247060389,0.1981,47
Regina,47060391,2021S051247060391,0.0911,47
Regina,47060392,2021S051247060392,0.1155,47
Regina,47060393,2021S051247060393,0.2317,47
Regina,47060394,2021S051247060394,0.1317,47
Regina,47060397,2021S051247060397,0.3062,47
Regina,47060398,2021S051247060398,0.1694,47
Regina,47060399,2021S051247060399,0.2736,47
Regina,47060401,2021S051247060401,0.1833,47
Regina,47060402,2021S051247060402,0.2412,47
Regina,47060403,2021S051247060403,0.2371,47
Regina,47060404,2021S051247060404,0.2066,47
Regina,47060405,2021S051247060405,0.2932,47
Regina,47060406,2021S051247060406,0.1757,47
Regina,47060407,2021S051247060407,0.1506,47
Regina,47060408,2021S051247060408,0.2878,47
Regina,47060409,2021S051247060409,0.1794,47
Regina,47060410,2021S051247060410,0.1814,47
Regina,47060411,2021S051247060411,0.2569,47
Regina,47060412,2021S051247060412,0.1228,47
Regina,47060413,2021S051247060413,0.2177,47
Regina,47060414,2021S051247060414,0.2482,47
Regina,47060415,2021S051247060415,0.2989,47
Regina,47060416,2021S051247060416,0.244,47
Regina,47060417,2021S051247060417,0.1806,47
Regina,47060418,2021S051247060418,0.302,47
Regina,47060419,2021S051247060419,0.0458,47
Regina,47060420,2021S051247060420,0.3397,47
Regina,47060421,2021S051247060421,0.1539,47
Regina,47060423,2021S051247060423,0.2197,47
Regina,47060424,2021S051247060424,0.1582,47
Regina,47060425,2021S051247060425,0.1211,47
Regina,47060426,2021S051247060426,0.1494,47
Regina,47060427,2021S051247060427,0.2027,47
Regina,47060428,2021S051247060428,0.1486,47
Regina,47060429,2021S051247060429,0.188,47
Regina,47060430,2021S051247060430,1.5284,47
Regina,47060432,2021S051247060432,0.1435,47
Regina,47060433,2021S051247060433,0.0517,47
Regina,47060434,2021S051247060434,0.1074,47
Regina,47060435,2021S051247060435,0.5333,47
Regina,47060436,2021S051247060436,0.3091,47
Regina,47060437,2021S051247060437,0.2166,47
Regina,47060438,2021S051247060438,0.2078,47
Regina,47060439,2021S051247060439,0.2396,47
Regina,47060440,2021S051247060440,0.1218,47
Regina,47060441,2021S051247060441,0.1406,47
Regina,47060442,2021S051247060442,0.2161,47
Regina,47060443,2021S051247060443,0.27,47
Regina,47060444,2021S051247060444,0.2104,47
Regina,47060445,2021S051247060445,0.2937,47
Regina,47060446,2021S051247060446,0.2429,47
Regina,47060448,2021S051247060448,0.3071,47
Regina,47060449,2021S051247060449,0.1459,47
Regina,47060450,2021S051247060450,0.3157,47
Regina,47060451,2021S051247060451,0.0894,47
Regina,47060452,2021S051247060452,0.0861,47
Regina,47060454,2021S051247060454,0.1088,47
Regina,47060455,2021S051247060455,0.2028,47
Regina,47060456,2021S051247060456,0.2667,47
Regina,47060486,2021S051247060486,0.2518,47
Regina,47060487,2021S051247060487,0.2438,47
Regina,47060488,2021S051247060488,0.1929,47
Regina,47060489,2021S051247060489,0.2311,47
Regina,47060490,2021S051247060490,0.112,47
Regina,47060491,2021S051247060491,0.2136,47
Regina,47060492,2021S051247060492,0.1699,47
Regina,47060493,2021S051247060493,0.4474,47
Regina,47060494,2021S051247060494,0.2164,47
Regina,47060495,2021S051247060495,0.562,47
Regina,47060503,2021S051247060503,0.516,47
