DAUID,Population,Population Density per Square Kilometre,Land Area in Square Kilometre
35203296,301,1691,0.18
35203297,522,3515.2,0.15
35203298,540,5960.3,0.09
35203299,516,4406.5,0.12
35203300,460,4323.3,0.11
35203301,475,4634.1,0.1
35203314,562,2284.6,0.25
35203315,382,3422.9,0.11
35203316,423,3831.5,0.11
35203317,542,2617.1,0.21
35203318,659,2313.1,0.28
35203321,374,2558.1,0.15
35203322,628,2268.8,0.28
35203323,391,1854.8,0.21
35203324,587,2086,0.28
35203330,1062,1062000,0
35203331,908,12042.4,0.08
35203332,406,3976.5,0.1
35203333,720,3005,0.24
35203334,482,4625.7,0.1
35203337,357,3699.5,0.1
35203338,427,5357.6,0.08
35203339,423,4577.9,0.09
35203340,1804,2518.8,0.72
35203342,1306,8614.8,0.15
35203344,286,3570.5,0.08
35203345,593,6328.7,0.09
35203346,390,3497.8,0.11
35203347,339,6152.5,0.06
35203348,805,16295.5,0.05
35203350,923,11297.4,0.08
35203351,603,5266.4,0.11
35203352,448,4529.8,0.1
35203353,493,3824.7,0.13
35203354,543,5206.1,0.1
35203355,503,5479.3,0.09
35203356,589,5937.5,0.1
35203357,348,5147.9,0.07
35203358,460,5122.5,0.09
35203359,474,4963.4,0.1
35203360,290,5410.4,0.05
35203361,543,2192.2,0.25
35203370,1511,12088,0.13
35203371,1655,17989.1,0.09
35203372,1381,12646.5,0.11
35203373,328,4499.3,0.07
35203374,591,3392.7,0.17
35203375,295,3986.5,0.07
35203376,284,1488.5,0.19
35203377,543,4141.9,0.13
35203378,640,2802.1,0.23
35203379,575,4023.8,0.14
35203380,458,4446.6,0.1
35203381,465,4479.8,0.1
35203382,491,2435.5,0.2
35203383,388,3236,0.12
35203384,542,4227.8,0.13
35203385,471,3291.4,0.14
35203386,604,3144.2,0.19
35203387,565,4891.8,0.12
35203388,525,4007.6,0.13
35203389,464,4377.4,0.11
35203391,427,3597.3,0.12
35203392,313,320.5,0.98
35203393,930,2474.7,0.38
35203394,778,1281.1,0.61
35203395,617,4928.1,0.13
35203396,400,6944.4,0.06
35203399,546,3729.5,0.15
35203400,361,3567.2,0.1
35203401,290,4461.5,0.07
35203402,361,11039.8,0.03
35203404,2151,7635.8,0.28
35203405,1037,16698.9,0.06
35203406,1497,5797.8,0.26
35203407,531,9888.3,0.05
35203408,1914,4891.4,0.39
35203409,489,3505.4,0.14
35203410,449,5319.9,0.08
35203411,1454,3713,0.39
35203412,602,4962.9,0.12
35203413,419,4515.1,0.09
35203414,554,4496.8,0.12
35203415,407,4507.2,0.09
35203416,640,4494.4,0.14
35203417,587,5317,0.11
35203418,598,5050.7,0.12
35203419,607,7066.4,0.09
35203420,695,3777.2,0.18
35203421,732,2385.1,0.31
35203422,562,3254.2,0.17
35203423,593,5294.6,0.11
35203427,755,4361.6,0.17
35203435,765,12603,0.06
35203439,638,4636.6,0.14
35203440,616,5120.5,0.12
35203441,469,4146.8,0.11
35203442,272,4714,0.06
35203443,466,4936.4,0.09
35203444,664,4686,0.14
35203445,570,7215.2,0.08
35203446,569,8070.9,0.07
35203447,635,4532.5,0.14
35203448,960,25329.8,0.04
35203449,1095,8397.2,0.13
35203450,592,9337.5,0.06
35203451,662,2399.4,0.28
35203452,898,5669.2,0.16
35203458,564,5246.5,0.11
35203461,586,4592.5,0.13
35203462,535,4726.1,0.11
35203463,436,3170.9,0.14
35203465,1370,3419.9,0.4
35203466,1313,7900.1,0.17
35203467,482,4634.6,0.1
35203468,534,5894,0.09
35203469,467,5956.6,0.08
35203470,813,17521.6,0.05
35203471,536,24144.1,0.02
35203472,676,5164.2,0.13
35203479,382,7126.9,0.05
35203480,478,7468.8,0.06
35203483,692,3591.1,0.19
35203484,629,773.9,0.81
35203485,412,7240.8,0.06
35203486,814,9229,0.09
35203489,675,4221.4,0.16
35203490,599,5362.6,0.11
35203491,636,4027.9,0.16
35203492,428,1326.7,0.32
35203493,735,5764.7,0.13
35203494,541,3601.9,0.15
35203495,486,6222.8,0.08
35203496,506,3518.8,0.14
35203498,596,4525.4,0.13
35203501,511,6914.7,0.07
35203502,597,3010.6,0.2
35203503,4044,4351.7,0.93
35203504,293,2836.4,0.1
35203505,503,6082.2,0.08
35203506,534,5920.2,0.09
35203507,409,3581.4,0.11
35203508,589,4796.4,0.12
35203509,820,4495.6,0.18
35203510,481,11618.4,0.04
35203511,575,6497.2,0.09
35203512,596,4388.8,0.14
35203513,553,8429.9,0.07
35203519,934,3827.9,0.24
35203520,2809,8425.3,0.33
35203521,1659,4540.2,0.37
35203522,801,5770.9,0.14
35203523,391,5262.4,0.07
35203524,438,3683.8,0.12
35203525,475,4390,0.11
35203526,478,2888.2,0.17
35203527,878,859.7,1.02
35203528,505,3051.4,0.17
35203529,504,7068.7,0.07
35203530,484,6134.3,0.08
35203531,460,5815.4,0.08
35203532,570,529.2,1.08
35203533,458,3309.2,0.14
35203534,486,3178.5,0.15
35203535,486,4606.6,0.11
35203536,438,4147.7,0.11
35203537,565,4452.3,0.13
35203538,456,5308.5,0.09
35203539,455,3524.4,0.13
35203540,480,5804.1,0.08
35203541,877,3411.1,0.26
35203542,619,4104.8,0.15
35203543,557,4314.5,0.13
35203544,553,3676.9,0.15
35203545,562,4750.6,0.12
35203546,672,6016.1,0.11
35203547,615,8266.1,0.07
35203548,760,6094.6,0.12
35203552,641,4167.8,0.15
35203554,469,3398.6,0.14
35203561,1082,28930.5,0.04
35203566,1840,959.7,1.92
35203567,684,5583.7,0.12
35203568,998,1576.6,0.63
35203569,477,3961.8,0.12
35203570,633,3756.7,0.17
35203571,485,3827.9,0.13
35203572,451,4421.6,0.1
35203573,622,2710.2,0.23
35203574,676,2367.8,0.29
35203575,562,4147.6,0.14
35203576,501,5081.1,0.1
35203577,413,2365.4,0.17
35203578,529,4604,0.11
35203579,518,5216.5,0.1
35203580,935,19318.2,0.05
35203581,337,2403.7,0.14
35203584,648,18674.4,0.03
35203585,458,6231.3,0.07
35203586,430,2638,0.16
35203587,468,1588.6,0.29
35203588,582,4597.2,0.13
35203589,697,4996.4,0.14
35203590,1454,6132.4,0.24
35203591,937,15064.3,0.06
35203592,689,4425.2,0.16
35203593,323,1887.8,0.17
35203594,786,2580.4,0.3
35203595,602,4796.8,0.13
35203596,333,4625,0.07
35203597,460,3779.8,0.12
35203599,841,4514.2,0.19
35203600,404,1308.7,0.31
35203604,765,4205.6,0.18
35203605,732,5247.3,0.14
35203606,598,5974,0.1
35203607,792,2784.8,0.28
35203608,616,3033,0.2
35203610,795,2169.8,0.37
35203611,409,3541.1,0.12
35203612,476,2287.4,0.21
35203613,835,2173.3,0.38
35203614,367,4966.2,0.07
35203615,358,788.9,0.45
35203616,530,5315.9,0.1
35203617,880,18803.4,0.05
35203618,2306,13891.6,0.17
35203619,547,4810.9,0.11
35203620,895,911,0.98
35203621,1028,8854.4,0.12
35203622,1021,8161.5,0.13
35203623,897,689.3,1.3
35203626,460,2924.3,0.16
35203627,658,2231.3,0.29
35203628,400,4545.5,0.09
35203629,289,4923.3,0.06
35203630,295,400.7,0.74
35203631,390,3872.9,0.1
35203632,561,1219,0.46
35203633,416,2747.7,0.15
35203634,536,2594.4,0.21
35203635,604,6144.5,0.1
35203636,724,3437.8,0.21
35203637,429,6864,0.06
35203640,560,3418.8,0.16
35203641,350,3593.4,0.1
35203649,0,0,0.18
35203650,1232,649.8,1.9
35203651,548,4053.3,0.14
35203652,405,4850.3,0.08
35203653,657,5530.3,0.12
35203654,459,5210,0.09
35203655,500,5000,0.1
35203656,661,844.2,0.78
35203657,551,5050.4,0.11
35203658,351,2556.4,0.14
35203659,1228,11762.5,0.1
35203660,434,3069.3,0.14
35203661,685,2606.5,0.26
35203664,1190,11365.8,0.1
35203666,464,6956.5,0.07
35203668,644,3377,0.19
35203669,756,3488.7,0.22
35203670,1210,5188.7,0.23
35203672,422,4368.5,0.1
35203673,271,4779.5,0.06
35203675,627,3938.4,0.16
35203676,538,223,2.41
35203677,485,1036.3,0.47
35203678,256,3422.5,0.07
35203679,365,2094.1,0.17
35203680,461,2073.8,0.22
35203681,522,3144.6,0.17
35203682,837,2754.2,0.3
35203683,401,2653.9,0.15
35203684,1033,2560.7,0.4
35203685,502,2137.1,0.23
35203686,342,1086.7,0.31
35203687,833,1979.1,0.42
35203688,635,2679.3,0.24
35203689,554,2858.6,0.19
35203690,526,5896.9,0.09
35203691,1095,3722,0.29
35203692,483,3464.8,0.14
35203693,571,6946.5,0.08
35203694,505,6787.6,0.07
35203695,616,2836.1,0.22
35203696,484,7744,0.06
35203697,331,6515.7,0.05
35203698,514,4227,0.12
35203699,526,536.4,0.98
35203700,682,816.4,0.84
35203701,448,2338.2,0.19
35203703,530,5843.4,0.09
35203704,382,5904.2,0.06
35203705,394,8621.4,0.05
35203708,1133,5938.2,0.19
35203709,982,9722.8,0.1
35203710,525,7211.5,0.07
35203711,355,7215.4,0.05
35203712,416,4365.2,0.1
35203713,665,588.7,1.13
35203714,578,5230.8,0.11
35203715,426,4213.6,0.1
35203716,778,11066.9,0.07
35203717,68,7640.4,0.01
35203718,1660,2089.6,0.79
35203719,593,2502.1,0.24
35203720,586,2869.7,0.2
35203721,397,3104,0.13
35203722,525,2693.7,0.19
35203723,461,3903.5,0.12
35203724,529,3635.7,0.15
35203725,520,2281.7,0.23
35203726,483,3064.7,0.16
35203729,380,2381,0.16
35203730,434,6069.9,0.07
35203731,1584,4386.6,0.36
35203732,687,2906.1,0.24
35203733,485,4750.2,0.1
35203734,401,5778.1,0.07
35203735,364,3056.3,0.12
35203736,439,499.3,0.88
35203737,592,2284,0.26
35203738,387,2434,0.16
35203739,641,538,1.19
35203740,334,1679.2,0.2
35203743,545,6960.4,0.08
35203744,653,3676.8,0.18
35203745,886,2871,0.31
35203746,1160,2337.8,0.5
35203747,756,2961.2,0.26
35203748,374,2850.6,0.13
35203751,429,1930.7,0.22
35203752,1065,3479.3,0.31
35203753,347,1597.6,0.22
35203754,587,1470.8,0.4
35203755,406,2699.5,0.15
35203756,461,3870.7,0.12
35203757,576,2735,0.21
35203758,480,4673.8,0.1
35203759,389,1885.6,0.21
35203760,466,2681.2,0.17
35203761,440,2614.4,0.17
35203762,606,4214.2,0.14
35203766,1265,6067.1,0.21
35203786,728,689.1,1.06
35203787,704,2505.3,0.28
35203788,935,552.3,1.69
35203789,285,3306.3,0.09
35203790,502,3189.3,0.16
35203791,289,3284.1,0.09
35203792,1177,5835.4,0.2
35203793,282,7157.4,0.04
35203794,441,3662.8,0.12
35203796,505,4218.9,0.12
35203798,423,6438.4,0.07
35203799,719,9206.1,0.08
35203800,444,6539,0.07
35203801,476,4452.8,0.11
35203802,467,5160.2,0.09
35203803,517,7591.8,0.07
35203807,465,11625,0.04
35203808,404,9758.5,0.04
35203809,427,10215.3,0.04
35203810,548,9319.7,0.06
35203811,713,6481.8,0.11
35203812,827,13469.1,0.06
35203813,426,8208.1,0.05
35203815,590,6584.8,0.09
35203816,435,7880.4,0.06
35203817,627,6417.6,0.1
35203818,647,10189,0.06
35203819,393,9203.7,0.04
35203820,556,7690.2,0.07
35203828,422,9483.1,0.04
35203829,444,11413.9,0.04
35203830,511,7009.6,0.07
35203833,529,9653.3,0.05
35203834,711,11889.6,0.06
35203835,334,9515.7,0.04
35203836,341,7301.9,0.05
35203837,229,6450.7,0.04
35203838,437,6682,0.07
35203841,504,5201.2,0.1
35203842,454,11435.8,0.04
35203843,456,11844.2,0.04
35203844,564,12876.7,0.04
35203845,393,11981.7,0.03
35203846,279,3313.5,0.08
35203847,342,26929.1,0.01
35203848,490,1431.5,0.34
35203849,579,4757.6,0.12
35203850,946,1687.8,0.56
35203851,324,9473.7,0.03
35203852,339,5398.1,0.06
35203853,362,7372.7,0.05
35203857,1870,44208,0.04
35203858,448,4853.7,0.09
35203859,335,19364.2,0.02
35203860,400,10126.6,0.04
35203861,341,24710.1,0.01
35203864,653,20406.3,0.03
35203865,467,6980.6,0.07
35203866,684,19826.1,0.03
35203867,466,4502.4,0.1
35203868,568,5837.6,0.1
35203869,514,2876.3,0.18
35203870,457,6418.5,0.07
35203871,430,6125.4,0.07
35203872,370,6187.3,0.06
35203873,252,3346.6,0.08
35203876,423,11102.4,0.04
35203877,507,11575.3,0.04
35203878,589,3487.3,0.17
35203880,380,8016.9,0.05
35203881,724,11658.6,0.06
35203882,395,6299.8,0.06
35203883,418,6295.2,0.07
35203884,510,6938.8,0.07
35203885,423,12085.7,0.04
35203886,447,6544.7,0.07
35203887,682,6861.2,0.1
35203888,739,5755.5,0.13
35203889,338,6401.5,0.05
35203890,507,9694.1,0.05
35203891,530,6479.2,0.08
35203892,587,9638.8,0.06
35203893,550,12387.4,0.04
35203895,529,5431.2,0.1
35203897,455,6132.1,0.07
35203898,532,7556.8,0.07
35203899,1048,19515.8,0.05
35203908,1178,8438.4,0.14
35203909,350,3305,0.11
35203910,360,3474.9,0.1
35203911,720,8780.5,0.08
35203912,772,51466.7,0.02
35203913,322,5384.6,0.06
35203914,1089,15104,0.07
35203915,998,9851.9,0.1
35203916,671,3951.7,0.17
35203917,309,3347.8,0.09
35203919,208,8387.1,0.02
35203921,1054,4061.7,0.26
35203922,324,3985.2,0.08
35203925,1046,7144.8,0.15
35203926,244,8872.7,0.03
35203927,683,4583.9,0.15
35203928,737,6299.1,0.12
35203929,980,3511.3,0.28
35203930,998,4654.9,0.21
35203931,309,6192.4,0.05
35203932,448,5910.3,0.08
35203933,1103,6121,0.18
35203936,338,8125,0.04
35203937,462,2317,0.2
35203938,339,8090.7,0.04
35203939,321,7624.7,0.04
35203940,696,6884.3,0.1
35203943,591,4962.2,0.12
35203945,1310,12300.5,0.11
35203946,4484,16515.7,0.27
35203947,2813,20714.3,0.14
35203948,2502,20474.6,0.12
35203951,1604,15408.3,0.1
35203953,1495,8611.8,0.17
35203954,7176,8740.6,0.82
35203955,1819,2128.7,0.85
35203958,1097,4520,0.24
35203959,1990,18546.1,0.11
35203960,2432,4240.6,0.57
35203962,634,10393.4,0.06
35203965,1166,16217,0.07
35203971,1837,23461,0.08
35203973,958,1051.9,0.91
35203974,1026,18964.9,0.05
35203975,1678,12466.6,0.13
35203976,1939,14869.6,0.13
35203977,1317,23105.3,0.06
35203978,3843,12489.4,0.31
35203979,1333,6165.6,0.22
35203980,1797,11273.5,0.16
35203981,1411,7489.4,0.19
35203984,2933,46189,0.06
35203986,2377,31693.3,0.08
35203987,797,15844.9,0.05
35203989,1798,3399.5,0.53
35203990,1263,9073.3,0.14
35203991,948,10972.2,0.09
35203992,1334,7870.2,0.17
35203993,935,6123.1,0.15
35203994,1459,18034.6,0.08
35203995,1005,8072.3,0.12
35203997,962,11238.3,0.09
35203998,843,1161.2,0.73
35204001,880,13134.3,0.07
35204003,663,7542.7,0.09
35204004,3194,36628.4,0.09
35204005,1549,7092.5,0.22
35204006,1219,5211.6,0.23
35204007,1780,18293.9,0.1
35204009,1127,20528.2,0.05
35204010,1349,1620,0.83
35204011,1354,18650.1,0.07
35204012,817,3322.5,0.25
35204013,2079,43676.5,0.05
35204014,3288,14959.1,0.22
35204015,1497,17971.2,0.08
35204019,2076,31031.4,0.07
35204020,2214,48659.3,0.05
35204021,257,7138.9,0.04
35204024,2719,38732.2,0.07
35204027,1287,22382.6,0.06
35204028,2407,10079.6,0.24
35204029,1088,3818.9,0.28
35204030,1479,7800.6,0.19
35204032,1462,3248.9,0.45
35204033,1980,12932.7,0.15
35204034,823,6881.3,0.12
35204038,827,8892.5,0.09
35204039,1103,8517.4,0.13
35204040,594,4016.2,0.15
35204041,2260,8057,0.28
35204042,1664,9019,0.18
35204043,1911,26322.3,0.07
35204045,1791,31421.1,0.06
35204047,1282,770.2,1.66
35204052,2241,24983.3,0.09
35204053,2404,8848,0.27
35204054,1233,13431.4,0.09
35204055,2248,13674,0.16
35204056,2006,18505.5,0.11
35204057,1214,56729,0.02
35204058,1270,6156.1,0.21
35204059,2662,24200,0.11
35204061,1561,16731,0.09
35204064,1729,8434.1,0.21
35204065,1610,12578.1,0.13
35204066,1630,14003.4,0.12
35204067,1209,1139,1.06
35204068,2362,26902.1,0.09
35204069,1661,15910,0.1
35204070,1040,4326.1,0.24
35204072,2700,10791.4,0.25
35204076,1342,25464.9,0.05
35204077,1601,38578.3,0.04
35204080,1922,18235.3,0.11
35204082,1567,30486.4,0.05
35204083,1937,33863.6,0.06
35204085,2775,20419.4,0.14
35204087,1894,20365.6,0.09
35204089,838,59432.6,0.01
35204090,1140,35625,0.03
35204091,1467,15791.2,0.09
35204092,844,3778,0.22
35204094,3413,11967,0.29
35204095,1808,2159.1,0.84
35204096,2606,44623.3,0.06
35204097,1955,34178.3,0.06
35204098,1644,4849.6,0.34
35204100,2708,31896.3,0.08
35204101,8119,36971.8,0.22
35204106,1028,2470,0.42
35204107,834,7637.4,0.11
35204109,1992,7364.1,0.27
35204113,1532,2471.8,0.62
35204114,1190,2762.3,0.43
35204115,1476,20936.2,0.07
35204116,853,25311.6,0.03
35204119,1720,22572.2,0.08
35204120,1262,5765.2,0.22
35204124,7031,10511.3,0.67
35204125,1425,7859.9,0.18
35204127,1532,8539.6,0.18
35204129,1324,10474.7,0.13
35204130,555,4602,0.12
35204131,974,1068.2,0.91
35204133,1269,21618.4,0.06
35204134,778,8078.9,0.1
35204135,1453,40473.5,0.04
35204136,1110,5167.6,0.21
35204137,1329,12443.8,0.11
35204138,1319,13243,0.1
35204141,1918,17516,0.11
35204142,2641,12820.4,0.21
35204143,1815,7684.2,0.24
35204144,1958,16222,0.12
35204145,1739,16737.2,0.1
35204146,1147,7419.1,0.15
35204147,1450,4146.4,0.35
35204148,720,7767,0.09
35204149,921,5633,0.16
35204150,758,7051.2,0.11
35204151,911,4927,0.18
35204152,575,3422.6,0.17
35204153,471,4921.6,0.1
35204154,879,5146.4,0.17
35204155,646,9486,0.07
35204156,612,5651,0.11
35204157,617,842.3,0.73
35204159,718,5771.7,0.12
35204160,471,10753.4,0.04
35204161,504,6184,0.08
35204162,517,3201.2,0.16
35204163,533,3312.6,0.16
35204164,524,5995.4,0.09
35204166,587,4978.8,0.12
35204167,556,6123.3,0.09
35204168,820,5819.7,0.14
35204169,306,3224.4,0.09
35204170,515,2818.8,0.18
35204172,447,3409.6,0.13
35204173,647,3465.5,0.19
35204174,504,9333.3,0.05
35204176,408,11460.7,0.04
35204177,614,6518,0.09
35204178,762,1941.4,0.39
35204179,750,8108.1,0.09
35204180,596,3300.1,0.18
35204181,565,5053.7,0.11
35204182,780,2124.2,0.37
35204183,525,2103.4,0.25
35204184,1121,56616.2,0.02
35204186,425,7899.6,0.05
35204187,764,27681.2,0.03
35204188,557,16334.3,0.03
35204189,462,16739.1,0.03
35204190,1094,65903.6,0.02
35204191,626,12347.1,0.05
35204192,455,23096.4,0.02
35204193,321,308.5,1.04
35204194,1047,5024,0.21
35204195,1880,45520.6,0.04
35204196,407,27687.1,0.01
35204197,575,35276.1,0.02
35204198,974,53812.2,0.02
35204199,988,26559.1,0.04
35204200,78,10985.9,0.01
35204201,1191,2008.4,0.59
35204202,765,4925.9,0.16
35204204,119,5384.6,0.02
35204205,347,6218.6,0.06
35204206,338,5738.5,0.06
35204207,425,1511.9,0.28
35204208,1257,30808.8,0.04
35204209,153,5503.6,0.03
35204211,317,7123.6,0.04
35204212,907,32509,0.03
35204213,1555,2925.7,0.53
35204214,506,7968.5,0.06
35204215,780,7136.3,0.11
35204216,838,5538.7,0.15
35204217,244,6594.6,0.04
35204218,628,4894.8,0.13
35204219,342,6356.9,0.05
35204220,333,1130,0.29
35204221,383,16946.9,0.02
35204222,695,31448,0.02
35204224,1803,20868.1,0.09
35204225,494,15437.5,0.03
35204226,488,17875.5,0.03
35204227,1453,6909.2,0.21
35204228,2973,23784,0.13
35204229,2145,45833.3,0.05
35204230,2588,19831.4,0.13
35204231,1302,17860.1,0.07
35204232,1250,2588,0.48
35204233,300,7042.3,0.04
35204235,514,3383.8,0.15
35204236,655,4939.7,0.13
35204237,457,8160.7,0.06
35204238,699,3614.3,0.19
35204240,1211,15605.7,0.08
35204242,1736,17860.1,0.1
35204243,1367,14573.6,0.09
35204244,374,3221.4,0.12
35204245,1049,9962,0.11
35204246,1978,28750,0.07
35204249,1940,12605.6,0.15
35204250,2059,14338.4,0.14
35204251,608,2907.7,0.21
35204252,1310,6599.5,0.2
35204253,260,2594.8,0.1
35204254,640,18604.7,0.03
35204255,614,109642.9,0.01
35204256,316,3665.9,0.09
35204257,1305,2826.5,0.46
35204258,0,0,0.14
35204262,387,3596.7,0.11
35204263,389,2315.5,0.17
35204265,1807,1359.1,1.33
35204266,141,4338.5,0.03
35204267,2204,4283.8,0.51
35204271,954,2148.2,0.44
35204272,3179,16696.4,0.19
35204273,150,17857.1,0.01
35204274,418,15833.3,0.03
35204275,445,9348.7,0.05
35204276,515,3206.7,0.16
35204277,1232,3475.3,0.35
35204278,515,529.3,0.97
35204279,641,2617.4,0.24
35204280,364,3058.8,0.12
35204281,569,6239,0.09
35204282,690,3070.8,0.22
35204283,517,4778.2,0.11
35204284,2898,22676.1,0.13
35204285,381,4319.7,0.09
35204286,637,5321.6,0.12
35204287,814,6305.2,0.13
35204288,573,3716,0.15
35204289,765,5704.7,0.13
35204290,1369,8686.5,0.16
35204291,930,5709,0.16
35204292,793,7446,0.11
35204293,474,1911.3,0.25
35204294,544,3412.8,0.16
35204295,451,5401.2,0.08
35204296,663,4790.5,0.14
35204297,478,4463.1,0.11
35204298,1137,10586.6,0.11
35204299,463,4853.2,0.1
35204300,473,5610.9,0.08
35204301,472,2049.5,0.23
35204302,556,4423.2,0.13
35204303,481,2958.2,0.16
35204304,510,3536.8,0.14
35204305,1104,11794.9,0.09
35204307,1141,42574.6,0.03
35204309,364,3823.5,0.1
35204310,2391,38317.3,0.06
35204311,1410,65277.8,0.02
35204312,1256,61871.9,0.02
35204317,1771,51037.5,0.03
35204318,565,3273.5,0.17
35204319,550,2454.3,0.22
35204321,3500,42839.7,0.08
35204322,498,2722.8,0.18
35204323,535,5905.1,0.09
35204324,567,3611.5,0.16
35204325,623,2756.6,0.23
35204326,1317,9474.8,0.14
35204327,456,3179.9,0.14
35204328,361,6098,0.06
35204329,3107,7917.9,0.39
35204330,1626,25646.7,0.06
35204331,1332,24712.4,0.05
35204332,516,2230.9,0.23
35204333,2911,22120.1,0.13
35204334,306,2343,0.13
35204335,663,18214.3,0.04
35204336,481,3652.2,0.13
35204337,597,14316.5,0.04
35204338,392,2739.3,0.14
35204339,854,1722.5,0.5
35204340,617,3283.7,0.19
35204341,343,3040.8,0.11
35204342,510,1061,0.48
35204343,751,2990.8,0.25
35204344,1115,6150,0.18
35204345,653,8203.5,0.08
35204346,886,23193.7,0.04
35204348,1996,4921.1,0.41
35204352,1453,7032.9,0.21
35204353,2232,16023,0.14
35204355,2516,10332.6,0.24
35204356,2007,9705,0.21
35204357,484,11229.7,0.04
35204358,696,16415.1,0.04
35204359,1167,1858.3,0.63
35204360,843,918.2,0.92
35204361,502,4068.1,0.12
35204362,507,4374.5,0.12
35204363,663,879.7,0.75
35204364,1084,3976.5,0.27
35204365,508,4268.9,0.12
35204366,257,1024.3,0.25
35204367,2928,19637.8,0.15
35204369,437,5581.1,0.08
35204370,1504,56329.6,0.03
35204371,3391,245724.6,0.01
35204372,1029,14513.4,0.07
35204373,1882,2050.1,0.92
35204374,611,4522.6,0.14
35204375,533,2933.4,0.18
35204376,498,4765.6,0.1
35204377,514,2795,0.18
35204378,517,3486.2,0.15
35204379,403,1508.2,0.27
35204380,3486,41648.7,0.08
35204381,1064,27926.5,0.04
35204383,693,5076.9,0.14
35204384,781,21634.3,0.04
35204385,657,8101.1,0.08
35204386,732,7569.8,0.1
35204387,601,4289.8,0.14
35204388,537,5269.9,0.1
35204389,1668,17375,0.1
35204390,1113,40036,0.03
35204391,599,3081.3,0.19
35204392,656,9704.1,0.07
35204393,482,2664.5,0.18
35204394,471,2494.7,0.19
35204395,627,3466,0.18
35204396,927,3191,0.29
35204397,1141,6360.1,0.18
35204398,549,6535.7,0.08
35204399,949,4147.7,0.23
35204400,404,2160.4,0.19
35204401,1519,17891.6,0.08
35204402,1732,5181,0.33
35204403,615,5176.8,0.12
35204404,508,5178.4,0.1
35204405,679,6689.7,0.1
35204406,410,7735.8,0.05
35204407,518,6515.7,0.08
35204408,556,5068.4,0.11
35204409,399,6253.9,0.06
35204410,967,5525.7,0.18
35204411,582,13630,0.04
35204412,1419,6737.9,0.21
35204413,951,27725.9,0.03
35204414,1410,18479.7,0.08
35204415,1571,31047.4,0.05
35204416,475,4460.1,0.11
35204417,432,4645.2,0.09
35204418,233,3462.1,0.07
35204419,506,3698.8,0.14
35204420,438,4750.5,0.09
35204421,536,3118.1,0.17
35204422,504,3882.9,0.13
35204423,489,5258.1,0.09
35204424,898,4321.5,0.21
35204425,560,14736.8,0.04
35204426,2592,15680.6,0.17
35204427,1166,14834.6,0.08
35204430,953,20233.5,0.05
35204431,598,1363.7,0.44
35204433,517,2814.4,0.18
35204434,508,3227.4,0.16
35204435,942,3279.9,0.29
35204438,556,7354.5,0.08
35204439,664,12994.1,0.05
35204440,519,3980.1,0.13
35204441,520,4609.9,0.11
35204442,456,4326.4,0.11
35204443,468,8096.9,0.06
35204444,395,1936.3,0.2
35204445,446,7299.5,0.06
35204446,604,21494.7,0.03
35204447,449,6792.7,0.07
35204448,768,10711.3,0.07
35204449,387,6450,0.06
35204450,422,6089.5,0.07
35204451,465,7841.5,0.06
35204452,478,7823.2,0.06
35204453,964,4570.9,0.21
35204455,717,14692.6,0.05
35204456,1098,7792.8,0.14
35204457,542,3201.4,0.17
35204458,1438,5416.2,0.27
35204460,514,509.1,1.01
35204461,494,6938.2,0.07
35204462,433,8063.3,0.05
35204465,1127,6205.9,0.18
35204466,1719,48559.3,0.04
35204467,1117,33848.5,0.03
35204468,1887,36288.5,0.05
35204469,1768,22961,0.08
35204470,3151,62396,0.05
35204471,766,2034,0.38
35204472,800,9732.4,0.08
35204473,423,8245.6,0.05
35204474,3484,4444.4,0.78
35204475,593,6911.4,0.09
35204476,434,7534.7,0.06
35204477,450,7305.2,0.06
35204478,823,292.1,2.82
35204479,45,3.6,12.66
35204480,1209,4491.1,0.27
35204481,512,9030,0.06
35204482,451,6212.1,0.07
35204483,433,9818.6,0.04
35204484,447,6422.4,0.07
35204485,542,6895.7,0.08
35204486,463,9957,0.05
35204487,1752,53414.6,0.03
35204488,1768,50370.4,0.04
35204489,656,48592.6,0.01
35204490,990,9200.7,0.11
35204491,505,7013.9,0.07
35204492,644,9252.9,0.07
35204493,523,8760.5,0.06
35204494,758,15924.4,0.05
35204495,459,10527.5,0.04
35204496,368,10082.2,0.04
35204497,399,10050.4,0.04
35204498,463,7590.2,0.06
35204499,494,9250.9,0.05
35204500,657,6583.2,0.1
35204501,458,8091.9,0.06
35204502,571,10233,0.06
35204503,555,9280.9,0.06
35204504,547,6458.1,0.08
35204505,929,22938.3,0.04
35204506,855,18152.9,0.05
35204507,1026,33203.9,0.03
35204508,537,14244,0.04
35204509,512,2767.6,0.19
35204510,568,8645.4,0.07
35204511,613,2516.4,0.24
35204512,512,6632.1,0.08
35204513,340,9139.8,0.04
35204514,424,8015.1,0.05
35204515,641,7676.6,0.08
35204516,685,9553.7,0.07
35204517,426,5278.8,0.08
35204518,569,10537,0.05
35204519,518,10019.3,0.05
35204520,679,18861.1,0.04
35204521,422,9154,0.05
35204522,423,9679.6,0.04
35204523,624,8991.4,0.07
35204524,352,8441.2,0.04
35204525,295,9577.9,0.03
35204526,570,11264.8,0.05
35204527,484,7355.6,0.07
35204528,443,7854.6,0.06
35204529,505,7072.8,0.07
35204530,532,6207.7,0.09
35204531,553,8366.1,0.07
