DAUID,Residential instability Scores,Ethno-cultural composition Scores,Economic dependency Scores,Situational vulnerability Scores
12060124,-0.749,-0.793,0.712,0.267
12060125,-0.613,-0.924,0.202,0.42
12060126,-0.745,-0.795,0.703,-0.425
12060128,0.385,-0.899,0.147,0.14
12060129,-0.736,-0.942,0.871,-0.738
12060130,-0.343,-0.96,0.807,0.431
12060131,-0.996,-0.845,0.355,0.11
12060132,-0.773,-0.851,0.915,0.578
12060133,-0.464,-0.86,0.988,0.299
12060134,-0.304,-0.724,0.977,1.193
12060135,-0.655,-0.84,1.784,-0.838
12060136,-0.214,-0.797,0.645,0.832
12060137,-0.307,-0.932,1.436,0.244
12060138,-0.431,-1.037,1.155,-0.314
12060139,-0.241,-0.554,0.259,-0.041
12060140,0.262,-0.437,0.336,3.488
12060141,-0.32,-0.695,0.542,1.047
12060142,-0.431,-1.053,-0.318,0.002
12060143,-0.527,-0.743,0.827,0.848
12060144,-0.352,-0.846,0.971,-0.781
12060145,-0.157,-1.098,3.049,-0.476
12060146,-0.043,-0.831,1.395,0.212
12060147,0.753,-1.144,3.792,-1.059
12060148,0.417,-0.904,0.865,-0.524
12060149,-0.829,-0.857,0.017,-0.107
12060150,-0.762,-0.898,1.713,-0.091
12060151,-0.583,-0.751,-0.233,-0.044
12060152,-0.037,-0.784,0.519,0.183
12060153,-0.668,-0.844,1.865,-0.248
12060154,-0.645,-0.891,1.157,-0.075
12060156,0.025,-0.853,0.608,-0.909
12060157,0.544,-0.651,2.023,-0.216
12060158,-0.258,-0.816,1.167,-0.148
12060160,-0.478,-0.854,0.941,-0.063
12060161,-0.415,-1.01,-0.198,-0.092
12060162,-0.557,-0.901,0.149,-0.343
12060163,-0.725,-0.961,0.442,-0.129
12060166,-0.16,-0.971,0.892,0.004
12060167,-1.078,-0.561,-0.204,-0.522
12060168,-0.882,-0.82,1.221,0.197
12060169,-0.969,-0.841,0.609,-0.533
12060170,-0.395,-0.68,0.809,-0.018
12060171,-0.506,-0.798,2.146,-0.36
12060172,-0.488,-1.264,0.691,-0.635
12060173,-0.427,-0.857,0.706,0.046
12060174,-0.564,-0.864,0.964,-0.021
12060176,-0.781,-0.899,1.342,0.324
12060177,-0.057,-0.599,0.797,0.517
12060178,-0.465,-1.023,-0.839,0.31
12060179,-0.643,-0.68,0.287,0.726
12060181,-0.989,-0.834,-0.612,-0.135
12060182,-1.415,-0.733,2.278,-0.172
12060185,-0.103,-0.699,0.644,0.908
12060186,-0.394,-1.015,1.123,0.093
12060187,-0.624,-0.585,0.947,0.359
12060188,-0.864,-0.825,1.443,-0.063
12060190,-0.302,-0.715,0.964,0.258
12070081,-0.754,-0.834,0.024,-0.021
12070082,-0.477,-0.942,0.886,-0.093
12070083,-0.452,-0.553,0.768,0.39
12070084,0.21,-0.694,-0.464,0.82
12070085,-0.964,-1.034,0.222,-0.443
12070086,0.019,-0.881,0.257,-0.11
12070087,-0.441,-0.943,0.156,-0.478
12070088,0.805,-0.789,0.737,0.401
12070089,-0.886,-1.081,-0.239,-0.892
12070090,1.042,-0.45,-0.121,-0.387
12070091,0.852,-0.506,-0.035,0.967
12070092,1.173,-1.022,0.235,0.433
12070093,1.169,-0.38,-0.482,0.995
12070094,0.735,-0.65,0.214,1.115
12070095,0.945,-0.637,-0.028,1.071
12070096,0.898,-0.821,0.255,-0.461
12070097,1.224,-0.778,-0.497,0.848
12070098,-0.115,-0.716,-0.452,0.139
12070099,0.438,-0.895,0.239,0.011
12070100,1.079,-0.6,-0.383,0.29
12070101,1.157,-0.54,-1.047,-0.005
12070102,0.211,-0.692,0.335,0.085
12070103,1.466,-0.247,1.013,0.355
12070104,0.013,-0.512,0.607,0.026
12070105,0.216,-0.538,0.975,0.441
12070106,0.177,-0.213,0.427,0.577
12070107,2.614,-0.879,2.037,0.319
12070108,-0.716,-0.744,-0.208,-0.307
12070109,-0.815,-1.157,0.454,-0.541
12070110,-0.957,-0.726,0.061,-0.434
12070111,-0.438,-0.893,-0.021,-0.283
12070112,-0.303,-0.766,-0.116,-0.727
12070113,-0.042,-0.705,0.88,-0.342
12070114,-0.784,-1.011,0.691,-0.911
12070115,-0.219,-0.735,0.492,0.82
12070116,-0.158,-0.683,0.459,1.195
12070117,-0.004,-0.519,-0.506,0.622
12070118,-0.07,-0.734,0.285,0.984
12070119,-0.43,-0.85,0.557,-0.408
12070120,-0.588,-0.531,0.215,0.914
12070121,-0.759,-0.759,0.243,-0.41
12070122,-0.108,-0.794,0.668,0.295
12070123,-0.474,-1.174,-0.228,0.221
12070124,-0.825,-0.596,0.265,0.209
12070125,-0.691,-0.983,0.538,0.123
12070126,-0.786,-0.719,-0.292,0.489
12070127,-0.769,-0.917,0.569,0.394
12070128,-0.626,-1.044,0.023,-0.261
12070129,-0.978,-0.927,0.293,-0.51
12070130,1.172,-0.852,0.396,0.101
12070131,0.328,-0.89,1.361,0.295
12070132,0.545,-0.872,-0.056,0.954
